phrase,prompt,Care
When I remember her I feel down,Emotional pain,PCP
When I carry heavy things I feel like breaking my back,Hair falling out,Pharmacy
there is too much pain when i move my arm,Heart hurts,Emergencey
My son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected.,Infected wound,PCP
My muscles in my lower back are aching,Infected wound,PCP
"i have muscle pain that my back
I Have Muscle Pain at my back leg",Foot ache,PCP
I have muscle pain in my left leg,Shoulder pain,PCP
I have cut my finger because of playing football and I have to apply pain relief cream but it does not help,Injury from sports,Emergencey
I have acne in my face and other problems in my derma like itching,Skin issue,Pharmacy
I have a strange rash on my arm,Foot ache,PCP
I have a sharp pain in my lower stomach.,Stomach ache,PCP
i have a knee pain when i walk a lot,Knee pain,PCP
dr. I feel a strange and powerful pain inside my rib cage,Heart hurts,Emergencey
Don't cry,Joint pain,PCP
I have for dia,Heart hurts,Emergencey
"I used to be out of breath after going up a dozen of stairs, but now I struggle to breath even when I sit down.",Hard to breath,Emergencey
i feel that it's hard to breath for me specially after running or making any effort,Hard to breath,Emergencey
I read a book for along time and when I finished reading I feel head ache,Head ache,PCP
i cant sleep because of cold,Injury from sports,Emergencey
My infected wound cause fever,Skin issue,Pharmacy
I lose a lot of my hair,Body feels weak,PCP
i feel dizzy after severe diarrhea,Feeling dizzy,PCP
I feel a pain in my back,Back pain,PCP
"Laceration, rupture or opening in the skin",Open wound,Emergencey
My back hurts me and i can't bend it or walk,Back pain,PCP
My head hurts whenever I try to do something.,Head ache,PCP
I have dark spots on my skin,Skin issue,Pharmacy
I feel a sharp pain in my stomach,Internal pain,PCP
I can't do anything I feel a weak in my body,Body feels weak,PCP
I have cloudy eyes,Blurry vision,PCP
I have a back pain since I turned 70 years old.,Back pain,PCP
I tried to put my glasses to see more clear but cant find any change,Blurry vision,PCP
I feel deep Tingling when I touch Acne followed by bad sensation,Acne,Pharmacy
My acne gets worse when it is hot,Acne,Pharmacy
Sometimes I feel like a claw on my chest that leaves me breathless.,Hard to breath,Emergencey
my abdominal muscles have great pain since i was at GYM,Muscle pain,PCP
My back got injured while i was lifting at the gym,Injury from sports,Emergencey
my ankle is hurting me,Joint pain,PCP
I think my wound is infected,Infected wound,PCP
i feel pain in my knee,Knee pain,PCP
My skin is very dry and peeling.,Skin issue,Pharmacy
i can't move my shoulder because of pain,Shoulder pain,PCP
when i wake up in the morning i feel dizzy,Feeling dizzy,PCP
My hair is falling out in huge amount,Hair falling out,Pharmacy
I have a sharp pain in my neck,Neck pain,PCP
There is pain in the muscles I do not know caused,Muscle pain,PCP
I have a problem in the expiration because i have abronchial asthma,Hard to breath,Emergencey
"Every time I make an effort, I felt dizzy.",Feeling dizzy,PCP
I have a powerful pain inside my neck,Neck pain,PCP
I have a pain internal,Internal pain,PCP
chronic disease of hair follicles and sebaceous glands.,Acne,Pharmacy
I feel a huge emotional pain after I broke up with my girlfriend.,Emotional pain,PCP
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy,PCP
I often get a sharp pain in my chest and I can't tell what I'm doing that might be triggering it.,Heart hurts,Emergencey
I have a feeling like my whole body is complaining,Joint pain,PCP
My knee hurts when I play squash,Knee pain,PCP
i can't see well,Blurry vision,PCP
I tried alot of cream but i still feel the same skin problem,Skin issue,Pharmacy
It feels like someone stuck a knife into my shoulder,Shoulder pain,PCP
I feel a burning sensation in my shoulder muscle.,Muscle pain,PCP
I cut my foot at the pool and it breaks open every day when I walk on it.,Open wound,Emergencey
My knee catches and hurts when I first stand up after sitting.,Knee pain,PCP
I cut my hand a couple of weeks ago and even though I keep using an antibiotic cream it's not getting better.,Infected wound,PCP
I feel pain in my shoulders when I write on the keyboard.,Shoulder pain,PCP
i have a problem in seeing objects it is too difficult to see,Blurry vision,PCP
glass broken and wound my leg badly the wound is so wide,Open wound,Emergencey
"I have a blurry vision during my swimming training in the pool, why?",Blurry vision,PCP
I love to walk and be outside but the bottoms of my feet get sore so quickly.,Foot ache,PCP
I feel pain in my knee when I climb the stairs.,Joint pain,PCP
"I get tired too fast, I can barely put on my clothes in the morning.",Body feels weak,PCP
My knee hurts when I walk,Knee pain,PCP
i can't rotate my neck,Neck pain,PCP
My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.,Infected wound,PCP
i have a problem in my back i cannot extend it,Back pain,PCP
I can't walk because i have a great foot ache,Foot ache,PCP
My heart is beating fast and it scares me.,Heart hurts,Emergencey
I used to have acne when I was 15 years old,Acne,Pharmacy
My muscles in my lower back are aching.,Muscle pain,PCP
My shoulder muscle hurts when I try to reach up.,Muscle pain,PCP
I feel heart pain when I walk a lot,Heart hurts,Emergencey
My hair is falling out in huge amount,Hair falling out,Pharmacy
I feel a pain in my back,Back pain,PCP
My skin is itchy and inflamed,Skin issue,Pharmacy
i can't see well,Blurry vision,PCP
I have a cold and it makes me cough alot,Cough,PCP
I have a dry throat,Cough,PCP
I'm not hearing well I have problem with my ear,Ear ache,PCP
My foot is hurting so much.,Foot ache,PCP
My shower drain is full of hair every time.,Hair falling out,Pharmacy
I have front head pain and when I get it the light bothers me.,Head ache,PCP
Even though I'm an adult my face keeps breaking out in pimples.,Acne,Pharmacy
When I get out of bed in the morning my body feels very weak.,Body feels weak,PCP
My knee catches and hurts when I first stand up after sitting.,Knee pain,PCP
"surgical wounds red, firing pus, painful and hot to the touch",Infected wound,PCP
Feel like something is being jabbed into my joints,Joint pain,PCP
The arches of my feet hurt when I wear heels,Foot ache,PCP
I feel pain in the lower back,Back pain,PCP
I have a dull ache in my head,Head ache,PCP
The arches of my feet hurt when I wear heels,Foot ache,PCP
I feel a pain in my neck,Neck pain,PCP
I have a sharp pain in my neck,Neck pain,PCP
i have pain but i can't specify place,Internal pain,PCP
I have an ear ache that won't go away.  I don't have a cold or headache or any other symptoms.  Just an earache.,Ear ache,PCP
I have cloudy eyes,Blurry vision,PCP
I feel joint pain every time I move,Joint pain,PCP
i have a hard pain in my stomach,Stomach ache,PCP
"My left ear is ok, but the right one feels like it's being stabbed with a nail.",Ear ache,PCP
I need a kind of cream wich make my muscles more relaxed,Muscle pain,PCP
I have a back pain since I fell on the floor.,Back pain,PCP
I feel lightheaded,Feeling dizzy,PCP
My body aches on the inside between my hips and shoulders.,Internal pain,PCP
I have a foot ache after running 500m with my running shoes.,Foot ache,PCP
"I was diagnosed with  B12-deficiency anemia, which explains why I always felt cold.",Feeling cold,Pharmacy
"i feel hurt, lot of pain in my heart",Emotional pain,PCP
I read a book for along time and when I finished reading I feel head ache,Head ache,PCP
I break out on my face very frequently,Acne,Pharmacy
I have tried to relief it but I can't,Body feels weak,PCP
I stopped sports because I get Injury from sports,Injury from sports,Emergencey
Every time I take a deep breath I start coughing,Cough,PCP
when i extend my leg there is pain in knee joint,Joint pain,PCP
my head hurts me badly,Head ache,PCP
when i was washing my hair it was falling out heavily,Hair falling out,Pharmacy
I hate my acne.,Acne,Pharmacy
My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.,Infected wound,PCP
i have pain like needles in my joints.,Joint pain,PCP
i have a great pain in my thorax from heart injury,Heart hurts,Emergencey
I don't know why I'm constantly sad.,Emotional pain,PCP
i feel pain in my neck,Neck pain,PCP
My muscles feel tired,Body feels weak,PCP
